Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
totalColumn = findTestData(FileTestData).getColumnNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:47:01,2022-10-12 09:47:01,0.047s,PASSED
rowNum = 1,Chrome 106.0.0.0,,,2022-10-12 09:47:01,2022-10-12 09:47:01,0.000s,PASSED
arrayLength = 0,Chrome 106.0.0.0,,,2022-10-12 09:47:01,2022-10-12 09:47:01,0.000s,PASSED
"for ([rowNum, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:47:01,2022-10-12 09:47:01,0.187s,PASSED
"println(""Row number is: "" + rowNum)",Chrome 106.0.0.0,,,2022-10-12 09:47:01,2022-10-12 09:47:01,0.000s,PASSED
"for ([i = 0, i < totalColumn - 1, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:47:01,2022-10-12 09:47:01,0.145s,PASSED
"println(""Array length is: "" + arrayLength)",Chrome 106.0.0.0,,,2022-10-12 09:47:01,2022-10-12 09:47:01,0.000s,PASSED
listData = [],Chrome 106.0.0.0,,,2022-10-12 09:47:01,2022-10-12 09:47:01,0.000s,PASSED
"for ([rowNum = 1, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:47:01,2022-10-12 09:47:02,0.601s,PASSED
println(listData),Chrome 106.0.0.0,,,2022-10-12 09:47:02,2022-10-12 09:47:02,0.000s,PASSED
"callTestCase(findTestCase(""Intermediate/Prerequisite1_Access_Immediate""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-12 09:47:02,2022-10-12 09:47:08,6.415s,PASSED
"click(findTestObject(""Intermediate/option_BootstrapListBox""))",Chrome 106.0.0.0,,,2022-10-12 09:47:08,2022-10-12 09:47:09,0.576s,PASSED
"setText(findTestObject(""Intermediate/4_Bootstrap_List_Box/searchbox_in_left""), ""d"")",Chrome 106.0.0.0,,,2022-10-12 09:47:09,2022-10-12 09:47:10,0.835s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:47:10,2022-10-12 09:47:10,0.811s,PASSED
"click(findTestObject(""Intermediate/4_Bootstrap_List_Box/dynamic_default_li_items_in_left"", [""item"":listData[0]]))",Chrome 106.0.0.0,,,2022-10-12 09:47:10,2022-10-12 09:47:11,0.381s,PASSED
"click(findTestObject(""Intermediate/4_Bootstrap_List_Box/button_move_right""))",Chrome 106.0.0.0,,,2022-10-12 09:47:11,2022-10-12 09:47:11,0.378s,PASSED
